"var","prop_decrease","prop_increase","prop_nochange","avg_change","area2","area_increase","prop_area_increase","area_decrease","prop_area_decrease","occ_all_2019","occ_all_2020","occ_all_change","occ_high_2019","occ_high_2020","occ_high_change","high_dens_2019","high_dens_2020"
"CARGO",39.86,34.12,26.02,-0.00106,251.2,22.5,8.91,24.2,9.59,68.6375063476042,68.1748365296002,-0.462669818004002,13.7415443642678,13.6470878341243,-0.0944565301435443,0.0278372112661601,0.0270896069705486
"TANKER",28.89,29.82,41.29,0.00022,189.8,30.7,16.25,29.6,15.67,51.2171726987192,51.514543588972,0.2973708902528,10.2761181709705,10.3177041211886,0.0415859502180638,0.0138789443299174,0.0136507803574204
"PASSENGER",12.29,6.11,81.6,-0.00168,36.6,15.6,29.28,32.1,60.46,14.4215477914517,9.92524977691959,-4.49629801453209,2.8917908498371,1.9921550926071,-0.89963575723,0.004849071521312,0.00386896450072527
"FISHING",26.12,25.02,48.87,-3e-04,149.5,40.8,27.26,40.9,27.35,40.6043964081442,40.5682437981556,-0.0361526099885694,8.13203852656172,8.12576928783538,-0.00626923872633967,0.00725261736661196,0.00699529787525535
"OTHER",34.09,25.1,40.81,-0.00056,167,38,20.8,53.6,29.34,49.5643923958314,45.3314024078056,-4.23298998802576,9.9292202947796,9.08370896522035,-0.845511329559251,0.00852854549884796,0.00891203433275223
"COUNT",43.9,36.45,19.65,-0.00177,280.9,12.6,4.43,16.7,5.85,77.3398366236388,76.2360326585543,-1.10380396508451,15.4685106587507,15.2490873033288,-0.219423355421952,0.0439567387104035,0.0430363342165947
